Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
23-Jul-19,EQ,"11,305.00","11,693.00","11,305.00","11,304.70","11,486.00","11,470.75","11,516.20","12,023.25","9,047.05",61563,"70,89,72,042.60",20121
22-Jul-19,EQ,"11,508.05","11,562.55","11,265.00","11,547.05","11,326.90","11,304.70","11,386.21","12,023.25","9,047.05",47464,"54,04,35,037.80",15978
19-Jul-19,EQ,"11,649.90","11,725.00","11,512.30","11,596.75","11,590.05","11,547.05","11,589.28","12,023.25","9,047.05",86677,"1,00,45,23,714.80",15848
18-Jul-19,EQ,"11,726.80","11,743.60","11,542.50","11,695.40","11,650.50","11,596.75","11,610.96","12,023.25","9,047.05",47394,"55,02,89,612.65",15287
17-Jul-19,EQ,"11,706.00","11,749.80","11,602.50","11,708.65","11,703.00","11,695.40","11,675.35","12,023.25","9,047.05",24922,"29,09,73,042.55",6598
16-Jul-19,EQ,"11,632.00","11,741.95","11,487.10","11,484.45","11,700.00","11,708.65","11,626.78","12,023.25","9,047.05",42449,"49,35,45,275.40",7019
15-Jul-19,EQ,"11,689.00","11,689.00","11,465.60","11,672.15","11,472.25","11,484.45","11,530.79","12,023.25","9,047.05",19432,"22,40,66,312.85",5373
12-Jul-19,EQ,"11,507.00","11,718.00","11,507.00","11,506.80","11,630.10","11,672.15","11,662.75","12,023.25","9,047.05",27605,"32,19,50,146.85",10476
11-Jul-19,EQ,"11,624.05","11,624.05","11,471.50","11,550.45","11,540.00","11,506.80","11,522.86","12,023.25","9,047.05",46492,"53,57,20,926.30",12639
10-Jul-19,EQ,"11,715.00","11,795.00","11,530.00","11,687.05","11,540.00","11,550.45","11,634.89","12,023.25","9,047.05",44237,"51,46,92,491.20",12183
09-Jul-19,EQ,"11,819.80","11,824.00","11,630.00","11,801.45","11,662.00","11,687.05","11,723.14","12,023.25","9,047.05",61843,"72,49,93,990.90",14278
08-Jul-19,EQ,"11,929.00","11,929.00","11,752.00","11,956.90","11,770.20","11,801.45","11,812.56","12,023.25","9,047.05",45507,"53,75,54,333.65",9404
05-Jul-19,EQ,"11,929.95","12,000.00","11,840.00","11,884.45","11,933.95","11,956.90","11,939.50","12,023.25","9,047.05",35376,"42,23,71,658.25",9965
04-Jul-19,EQ,"11,810.00","11,970.00","11,799.95","11,819.15","11,880.00","11,884.45","11,899.59","12,023.25","9,047.05",23714,"28,21,86,821.20",5241
03-Jul-19,EQ,"11,964.00","11,998.55","11,779.95","11,964.85","11,786.00","11,819.15","11,858.34","12,023.25","9,047.05",63152,"74,88,78,084.95",12291
02-Jul-19,EQ,"11,860.00","12,004.95","11,801.00","11,868.75","11,945.00","11,964.85","11,900.79","12,023.25","9,047.05",66647,"79,31,52,183.75",12636
01-Jul-19,EQ,"11,984.00","12,023.25","11,823.65","11,912.60","11,868.95","11,868.75","11,954.70","12,023.25","9,047.05",40901,"48,89,59,309.50",12047
28-Jun-19,EQ,"11,762.00","11,940.00","11,755.00","11,802.85","11,926.00","11,912.60","11,877.29","11,950.00","9,047.05",57069,"67,78,25,072.15",15737
27-Jun-19,EQ,"11,810.30","11,866.90","11,684.45","11,802.50","11,767.00","11,802.85","11,754.50","11,950.00","9,047.05",93927,"1,10,40,64,577.30",24971
26-Jun-19,EQ,"11,706.00","11,950.00","11,680.80","11,705.85","11,789.00","11,802.50","11,837.03","11,950.00","9,047.05",143213,"1,69,52,16,507.10",15078
25-Jun-19,EQ,"11,680.05","11,737.25","11,613.45","11,712.00","11,700.00","11,705.85","11,694.80","11,817.70","9,047.05",37748,"44,14,55,139.20",11304
24-Jun-19,EQ,"11,600.00","11,760.00","11,550.15","11,600.90","11,700.00","11,712.00","11,699.49","11,817.70","9,047.05",24222,"28,33,85,121.10",8688
21-Jun-19,EQ,"11,710.00","11,790.00","11,539.15","11,718.05","11,660.00","11,600.90","11,657.96","11,817.70","9,047.05",111980,"1,30,54,58,067.55",20075
20-Jun-19,EQ,"11,613.05","11,759.00","11,474.20","11,611.70","11,700.00","11,718.05","11,664.76","11,817.70","9,047.05",65396,"76,28,28,935.80",16666
19-Jun-19,EQ,"11,478.90","11,650.50","11,450.00","11,457.60","11,625.00","11,611.70","11,580.52","11,817.70","9,047.05",69510,"80,49,62,002.30",13997
18-Jun-19,EQ,"11,505.05","11,551.95","11,300.00","11,480.85","11,450.00","11,457.60","11,426.83","11,817.70","9,047.05",55529,"63,45,20,246.25",15792
17-Jun-19,EQ,"11,559.00","11,629.65","11,425.65","11,489.00","11,482.35","11,480.85","11,513.10","11,817.70","9,047.05",45786,"52,71,38,843.00",17024
14-Jun-19,EQ,"11,615.50","11,723.65","11,451.00","11,613.75","11,474.50","11,489.00","11,576.19","11,817.70","9,047.05",40564,"46,95,76,389.85",11754
13-Jun-19,EQ,"11,620.00","11,661.55","11,570.05","11,695.50","11,607.00","11,613.75","11,616.72","11,817.70","9,047.05",69156,"80,33,65,671.50",18332
12-Jun-19,EQ,"11,674.00","11,715.00","11,505.00","11,622.95","11,677.00","11,695.50","11,632.23","11,817.70","9,047.05",43374,"50,45,36,134.25",13483
11-Jun-19,EQ,"11,755.00","11,817.70","11,498.10","11,698.40","11,580.00","11,622.95","11,653.96","11,817.70","9,047.05",72286,"84,24,18,462.75",17982
10-Jun-19,EQ,"11,607.10","11,729.00","11,376.00","11,503.85","11,718.00","11,698.40","11,650.93","11,751.00","9,047.05",48341,"56,32,17,557.00",13042
07-Jun-19,EQ,"11,610.00","11,628.00","11,451.00","11,603.30","11,474.25","11,503.85","11,509.54","11,751.00","9,047.05",43726,"50,32,66,124.95",9163
06-Jun-19,EQ,"11,552.35","11,684.00","11,530.00","11,552.35","11,585.00","11,603.30","11,628.62","11,751.00","9,047.05",82658,"96,11,98,222.85",13909
04-Jun-19,EQ,"11,600.00","11,698.00","11,428.00","11,686.45","11,600.00","11,552.35","11,512.57","11,751.00","9,047.05",96144,"1,10,68,64,266.50",23054
03-Jun-19,EQ,"11,498.60","11,700.00","11,498.60","11,498.10","11,676.15","11,686.45","11,651.75","11,751.00","9,047.05",64302,"74,92,30,967.35",12453
31-May-19,EQ,"11,350.00","11,540.00","11,303.45","11,320.50","11,540.00","11,498.10","11,446.77","11,751.00","9,047.05",70172,"80,32,42,560.70",16240
30-May-19,EQ,"11,175.25","11,345.00","11,170.00","11,206.00","11,340.00","11,320.50","11,282.94","11,751.00","9,047.05",93421,"1,05,40,63,813.00",21929
29-May-19,EQ,"11,125.00","11,295.95","10,987.45","11,105.20","11,201.00","11,206.00","11,188.20","11,751.00","9,047.05",128654,"1,43,94,06,301.65",25211
28-May-19,EQ,"11,040.00","11,165.00","10,950.00","11,036.25","11,145.00","11,105.20","11,096.92","11,751.00","9,047.05",133445,"1,48,08,28,516.35",26100
27-May-19,EQ,"10,750.00","11,083.00","10,700.00","10,660.05","11,008.70","11,036.25","10,952.92","11,751.00","9,047.05",84400,"92,44,26,482.60",16243
24-May-19,EQ,"10,813.00","10,849.90","10,592.30","10,797.05","10,682.40","10,660.05","10,657.73","11,751.00","9,047.05",49465,"52,71,84,463.55",17137
23-May-19,EQ,"10,848.00","10,989.00","10,680.00","10,700.55","10,791.05","10,797.05","10,846.95","11,751.00","9,047.05",56257,"61,02,16,860.30",17084
22-May-19,EQ,"10,650.05","10,784.20","10,600.00","10,609.20","10,725.00","10,700.55","10,680.48","11,751.00","9,047.05",31497,"33,64,03,201.40",12875
21-May-19,EQ,"10,849.95","10,884.70","10,493.95","10,768.15","10,629.80","10,609.20","10,705.43","11,751.00","9,047.05",47182,"50,51,03,460.95",12525
20-May-19,EQ,"10,680.00","10,832.00","10,560.35","10,465.65","10,770.00","10,768.15","10,738.45","11,751.00","9,047.05",49555,"53,21,43,686.45",14992
17-May-19,EQ,"10,299.95","10,546.20","10,256.85","10,280.55","10,444.00","10,465.65","10,413.67","11,751.00","9,047.05",65704,"68,42,19,468.05",14806
16-May-19,EQ,"10,332.70","10,401.00","10,255.05","10,268.55","10,300.00","10,280.55","10,325.18","11,751.00","9,047.05",39322,"40,60,06,770.80",12810
15-May-19,EQ,"10,401.00","10,509.00","10,211.00","10,198.65","10,310.50","10,268.55","10,385.76","11,751.00","9,047.05",127190,"1,32,09,65,233.95",27541
14-May-19,EQ,"10,310.00","10,364.40","10,120.05","10,300.05","10,163.05","10,198.65","10,210.39","11,751.00","9,047.05",54275,"55,41,68,918.70",16469
13-May-19,EQ,"10,262.00","10,433.25","10,232.25","10,231.15","10,300.05","10,300.05","10,356.40","11,751.00","9,047.05",48042,"49,75,42,244.30",14253
10-May-19,EQ,"10,371.90","10,435.65","10,171.05","10,362.20","10,182.05","10,231.15","10,283.61","11,751.00","8,934.65",61273,"63,01,07,646.70",11851
09-May-19,EQ,"10,295.00","10,409.00","10,200.00","10,298.35","10,371.30","10,362.20","10,322.47","11,751.00","8,934.65",46552,"48,05,31,851.60",17093
08-May-19,EQ,"10,487.75","10,536.00","10,275.70","10,477.10","10,295.00","10,298.35","10,365.32","11,751.00","8,934.65",46391,"48,08,57,588.75",16295
07-May-19,EQ,"10,401.50","10,589.95","10,401.00","10,364.00","10,474.90","10,477.10","10,493.49","11,751.00","8,934.65",72631,"76,21,52,484.40",23858
06-May-19,EQ,"10,400.00","10,497.10","10,305.05","10,485.70","10,393.00","10,364.00","10,410.04","11,751.00","8,934.65",90136,"93,83,19,575.80",22491
03-May-19,EQ,"10,650.00","10,650.00","10,380.00","10,589.70","10,454.00","10,485.70","10,500.49","11,751.00","8,934.65",115448,"1,21,22,60,092.05",19751
02-May-19,EQ,"10,905.00","10,905.00","10,403.05","10,905.30","10,590.00","10,589.70","10,716.41","11,751.00","8,934.65",44249,"47,41,90,529.65",11266
